Kode,Sektor,Sub Sektor
MARI,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
CNKO,Energi,Energi
MRAT,Barang Konsumen Primer,Barang Konsumen Primer
CNTX,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
LPKR,Properti & Real Estat,Properti
POLY,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
FUTR,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
BBNI,Keuangan,Keuangan
SCMA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
KINO,Barang Konsumen Primer,Barang Konsumen Primer
LFLO,Barang Konsumen Non-Primer,Furniture
SMAR,Barang Konsumen Primer,Barang Konsumen Primer
KPIG,Barang Konsumen Non-Primer,Properti
BMAS,Keuangan,Keuangan
OILS,Barang Konsumen Primer,Barang Konsumen Primer
BSWD,Keuangan,Keuangan
AKKU,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
MKNT,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
TOSK,Teknologi,Teknologi
WEGE,Infrastruktur,Infrastruktur
ARII,Energi,Energi
HERO,Barang Konsumen Primer,Barang Konsumen Primer
HGII,Infrastruktur,Energi Baru Terbarukan
MYTX,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
ADMG,Barang Baku,Barang Baku
DAYA,Barang Konsumen Primer,Barang Konsumen Primer
ASRM,Keuangan,Keuangan
NAIK,Perindustrian,Perindustrian
CBPE,Properti & Real Estat,Properti & Real Estat
FIMP,Infrastruktur,Infrastruktur
PNIN,Keuangan,Keuangan
ASBI,Keuangan,Keuangan
ASRI,Properti & Real Estat,Properti & Real Estat
INTA,Perindustrian,Perindustrian
CANI,Energi,Energi
BBYB,Keuangan,Keuangan
CBMF,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
PPRI,Barang Baku,Retail kertas
INOV,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
CASS,Infrastruktur,Infrastruktur
POOL,Keuangan,Keuangan
SMKL,Barang Baku,Barang Baku
GRPH,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
PRDA,Kesehatan,Laboratorium Kesehatan
DUCK,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
BSDE,Properti & Real Estat,Properti & Real Estat
TGKA,Barang Konsumen Primer,Barang Konsumen Primer
JKON,Infrastruktur,Infrastruktur
